epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3607,1.3224,6.69398,0.00609,0,0,0,0,1.09999,5.05055,0.00682,0.000328829,0.000328829,0.0674459
2,79.6601,1.20607,2.70959,0.00512,0.56177,0.25404,0.32621,0.24585,1.07228,2.28233,0.00725,0.000658884,0.000658884,0.0344427
3,113.707,1.14394,2.06462,0.00494,0.47125,0.47479,0.44691,0.33771,1.00747,1.6951,0.00666,0.00098564,0.00098564,0.00143609
4,147.65,1.09717,1.85966,0.00476,0.51552,0.52493,0.51947,0.38607,0.96025,1.45265,0.00628,0.00098515,0.00098515,0.00098515
5,181.568,1.05813,1.59157,0.00462,0.59067,0.54145,0.59397,0.44753,0.9201,1.4005,0.00602,0.0009802,0.0009802,0.0009802
6,215.563,1.01305,1.44404,0.00425,0.59229,0.61073,0.62616,0.46217,0.96533,1.27002,0.00632,0.00097525,0.00097525,0.00097525
7,249.565,1.01052,1.40884,0.00431,0.5855,0.64477,0.65014,0.48776,0.95796,1.27842,0.00651,0.0009703,0.0009703,0.0009703
8,283.587,0.98085,1.28182,0.00403,0.56091,0.63532,0.65186,0.49793,0.9112,1.25176,0.00586,0.00096535,0.00096535,0.00096535
9,317.561,0.97526,1.19511,0.00407,0.65625,0.67083,0.68931,0.51734,0.90274,1.04153,0.00578,0.0009604,0.0009604,0.0009604
10,351.555,0.93065,1.12138,0.0038,0.66013,0.6688,0.7294,0.56935,0.851,1.05622,0.00564,0.00095545,0.00095545,0.00095545
11,385.523,0.91421,1.09111,0.00386,0.68993,0.64617,0.71409,0.54639,0.858,1.05048,0.00566,0.0009505,0.0009505,0.0009505
12,419.472,0.94103,1.0907,0.00408,0.70489,0.68364,0.7519,0.56553,0.84801,0.95927,0.00541,0.00094555,0.00094555,0.00094555
13,453.449,0.91237,0.99889,0.00377,0.70826,0.66046,0.73381,0.55433,0.89274,1.02605,0.00605,0.0009406,0.0009406,0.0009406
14,487.478,0.90567,0.99188,0.00378,0.71868,0.71894,0.75966,0.58123,0.83939,0.90186,0.00539,0.00093565,0.00093565,0.00093565
15,521.42,0.89271,0.957,0.00373,0.75181,0.68459,0.7787,0.59896,0.83311,0.90987,0.00546,0.0009307,0.0009307,0.0009307
16,555.376,0.89509,0.93207,0.00363,0.68834,0.71275,0.7706,0.59283,0.8495,0.90923,0.00537,0.00092575,0.00092575,0.00092575
17,589.392,0.8818,0.8748,0.00359,0.71834,0.70581,0.78255,0.59038,0.88061,0.90847,0.00594,0.0009208,0.0009208,0.0009208
18,623.354,0.84946,0.85447,0.00341,0.7101,0.73416,0.77575,0.60107,0.82168,0.935,0.00527,0.00091585,0.00091585,0.00091585
19,657.375,0.86307,0.86606,0.00348,0.75132,0.71629,0.78471,0.59278,0.8295,0.86548,0.00536,0.0009109,0.0009109,0.0009109
20,691.31,0.85202,0.85241,0.00352,0.84248,0.68263,0.81051,0.6218,0.84126,0.8778,0.00583,0.00090595,0.00090595,0.00090595
21,725.285,0.84848,0.8202,0.00342,0.80049,0.6923,0.80779,0.62841,0.81227,0.90648,0.00548,0.000901,0.000901,0.000901
