epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.651,1.69042,5.23461,0.00769,0.20862,0.25773,0.17921,0.08806,1.7255,3.88653,0.01256,0.00330769,0.00330769,0.0702308
2,175.728,1.78833,2.59705,0.00871,0.39418,0.34143,0.30989,0.1664,1.74215,3.59233,0.01366,0.00664062,0.00664062,0.0402304
3,257.085,1.77204,2.19753,0.00854,0.47063,0.36105,0.38086,0.17752,1.82148,2.23421,0.01358,0.00997192,0.00997192,0.0102283
4,338.141,1.71323,2.10586,0.00801,0.3584,0.49367,0.40846,0.21115,1.65385,2.3885,0.01256,0.0099945,0.0099945,0.0099945
5,419.297,1.59062,1.82987,0.00706,0.53084,0.5073,0.50135,0.28035,1.47268,2.00876,0.01049,0.00999023,0.00999023,0.00999023
6,500.182,1.51489,1.64162,0.00685,0.56904,0.5679,0.57991,0.36342,1.45846,1.63074,0.01083,0.00998474,0.00998474,0.00998474
7,581.492,1.47538,1.47496,0.00676,0.66848,0.60602,0.66402,0.39389,1.51478,1.46464,0.01119,0.00997803,0.00997803,0.00997803
8,662.599,1.46,1.46444,0.00616,0.59708,0.58474,0.64353,0.39962,1.39402,1.48923,0.00962,0.00997011,0.00997011,0.00997011
9,743.303,1.40953,1.39735,0.0063,0.64675,0.62134,0.67675,0.43237,1.40551,1.34279,0.01042,0.00996097,0.00996097,0.00996097
10,823.694,1.42547,1.33615,0.00602,0.74085,0.6167,0.7167,0.44591,1.41598,1.25945,0.00993,0.00995062,0.00995062,0.00995062
11,903.709,1.32788,1.21694,0.0057,0.73373,0.65685,0.73824,0.46768,1.3288,1.47099,0.00995,0.00993906,0.00993906,0.00993906
12,974.095,1.31782,1.17656,0.00548,0.73843,0.66556,0.73616,0.47,1.35485,1.18878,0.00935,0.00992629,0.00992629,0.00992629
13,1043.84,1.29134,1.08999,0.00542,0.80079,0.67829,0.78405,0.49778,1.34787,1.11469,0.00936,0.00991232,0.00991232,0.00991232
14,1113.79,1.26509,1.06899,0.00532,0.76829,0.67332,0.76301,0.52369,1.20336,1.15774,0.00829,0.00989715,0.00989715,0.00989715
15,1183.67,1.26971,0.99906,0.00534,0.81193,0.73563,0.81675,0.54323,1.28125,1.06788,0.00899,0.00988079,0.00988079,0.00988079
16,1253.42,1.2774,1.0237,0.00558,0.8312,0.70902,0.81319,0.56002,1.1932,0.9701,0.00853,0.00986323,0.00986323,0.00986323
17,1323.08,1.22603,0.94735,0.00507,0.74017,0.71294,0.77705,0.51813,1.21785,1.11119,0.00822,0.00984449,0.00984449,0.00984449
18,1392.83,1.20429,0.9485,0.00507,0.78558,0.76971,0.82418,0.56985,1.20406,1.01205,0.00839,0.00982456,0.00982456,0.00982456
19,1462.61,1.17875,0.9366,0.00469,0.75974,0.74163,0.79373,0.55463,1.16895,1.01166,0.00809,0.00980345,0.00980345,0.00980345
20,1532.7,1.18469,0.88797,0.00476,0.79216,0.75415,0.81948,0.57077,1.18485,0.9476,0.00823,0.00978118,0.00978118,0.00978118
21,1602.44,1.15093,0.86965,0.00451,0.81763,0.70468,0.82544,0.59166,1.15177,0.95228,0.00766,0.00975773,0.00975773,0.00975773
22,1672.17,1.1566,0.87155,0.0047,0.87824,0.73302,0.84126,0.58433,1.19958,0.89016,0.00819,0.00973312,0.00973312,0.00973312
23,1741.79,1.14203,0.85175,0.0045,0.84409,0.74458,0.84495,0.5916,1.16085,0.94266,0.00773,0.00970736,0.00970736,0.00970736
24,1811.67,1.16367,0.87033,0.00467,0.89075,0.73975,0.85441,0.58065,1.21179,0.93983,0.00834,0.00968045,0.00968045,0.00968045
25,1881.53,1.15212,0.81331,0.00452,0.80003,0.75682,0.82931,0.59263,1.14486,0.9416,0.00773,0.00965239,0.00965239,0.00965239
26,1951.28,1.1231,0.81702,0.00431,0.79626,0.79109,0.84694,0.5858,1.10479,0.93812,0.0075,0.0096232,0.0096232,0.0096232
27,2445.5,1.11934,0.81754,0.00443,0.81422,0.76741,0.84756,0.58631,1.13909,0.94156,0.00747,0.00959289,0.00959289,0.00959289
28,2526.03,1.10263,0.76254,0.00439,0.81219,0.79663,0.84636,0.57927,1.18736,0.89178,0.00818,0.00956145,0.00956145,0.00956145
29,2606.74,1.08902,0.77298,0.00432,0.85994,0.73587,0.84725,0.60171,1.16463,0.87234,0.00783,0.00952889,0.00952889,0.00952889
30,2687.81,1.10181,0.76296,0.00433,0.82891,0.80646,0.86873,0.63163,1.08761,0.84516,0.00699,0.00949524,0.00949524,0.00949524
31,2769.14,1.05539,0.74362,0.00388,0.85196,0.76018,0.85151,0.61579,1.09149,0.85738,0.00737,0.00946048,0.00946048,0.00946048
32,2850.56,1.0913,0.71538,0.00413,0.88832,0.73425,0.85452,0.62715,1.03539,0.83123,0.00659,0.00942464,0.00942464,0.00942464
33,2931.77,1.02822,0.66813,0.0039,0.86343,0.80811,0.87856,0.63232,1.06956,0.84233,0.00716,0.00938772,0.00938772,0.00938772
34,3013.36,1.03026,0.68843,0.00396,0.87258,0.76784,0.8575,0.62872,1.08093,0.84282,0.00706,0.00934973,0.00934973,0.00934973
35,3094.53,1.05166,0.70707,0.00403,0.81803,0.80417,0.86033,0.64471,1.0211,0.82164,0.00655,0.00931067,0.00931067,0.00931067
36,3171.58,1.05671,0.71239,0.00394,0.90873,0.77051,0.87304,0.63996,1.02687,0.80688,0.00657,0.00927057,0.00927057,0.00927057
37,3247.27,1.03359,0.68487,0.00385,0.84591,0.79505,0.86975,0.62623,1.0809,0.80611,0.00692,0.00922942,0.00922942,0.00922942
38,3318.67,1.04952,0.69996,0.00397,0.90804,0.75561,0.86089,0.64695,1.04348,0.83114,0.00687,0.00918725,0.00918725,0.00918725
39,3394.64,1.01552,0.66736,0.00384,0.82106,0.80963,0.87237,0.63577,1.03825,0.79484,0.00666,0.00914405,0.00914405,0.00914405
40,3469.72,0.99267,0.65057,0.00375,0.88594,0.78922,0.87194,0.64299,1.067,0.79464,0.00681,0.00909984,0.00909984,0.00909984
41,3540.99,1.03379,0.66962,0.00399,0.90704,0.79912,0.88829,0.65408,1.00325,0.76078,0.00641,0.00905463,0.00905463,0.00905463
42,3609.97,1.00497,0.61211,0.00388,0.89729,0.78586,0.87206,0.63769,1.05079,0.81541,0.00673,0.00900844,0.00900844,0.00900844
43,3683.81,0.99694,0.64204,0.00367,0.86915,0.79089,0.88044,0.65196,1.03156,0.75139,0.0065,0.00896127,0.00896127,0.00896127
44,3753.22,0.98975,0.64749,0.0037,0.84754,0.81678,0.87907,0.65505,1.02347,0.77232,0.00653,0.00891313,0.00891313,0.00891313
45,3822.42,0.98623,0.64409,0.00365,0.89209,0.79549,0.8715,0.6385,1.01398,0.79251,0.00626,0.00886404,0.00886404,0.00886404
46,3891.54,1.02156,0.65687,0.00369,0.86536,0.81766,0.88917,0.65797,1.01458,0.71378,0.00621,0.00881401,0.00881401,0.00881401
47,3960.48,1.00582,0.63328,0.00371,0.89636,0.8009,0.88861,0.67474,0.9682,0.77638,0.00586,0.00876305,0.00876305,0.00876305
48,4038.24,0.97991,0.60121,0.00368,0.87583,0.79943,0.87967,0.64125,1.02073,0.7779,0.00655,0.00871117,0.00871117,0.00871117
49,4114.74,0.95622,0.59331,0.00344,0.90522,0.79562,0.8923,0.66934,1.00395,0.72006,0.0061,0.00865839,0.00865839,0.00865839
50,4195.61,0.98357,0.61457,0.00369,0.85441,0.80631,0.88389,0.65475,0.99257,0.77338,0.00635,0.00860473,0.00860473,0.00860473
51,4276.19,0.98392,0.59364,0.00356,0.89849,0.78641,0.88753,0.67124,1.00716,0.74106,0.0065,0.00855018,0.00855018,0.00855018
52,4356.88,0.97272,0.58633,0.00357,0.90395,0.78721,0.88943,0.65864,1.01229,0.7327,0.0064,0.00849477,0.00849477,0.00849477
53,4438.07,0.97548,0.59193,0.00357,0.8917,0.76814,0.86601,0.64908,0.99059,0.7992,0.00637,0.00843851,0.00843851,0.00843851
54,4520.76,0.9651,0.59021,0.0036,0.85099,0.81856,0.88374,0.6576,1.00099,0.7473,0.00636,0.00838141,0.00838141,0.00838141
55,4604.52,0.94016,0.60089,0.0035,0.85698,0.81047,0.89191,0.6805,0.9653,0.7268,0.00597,0.00832349,0.00832349,0.00832349
56,4688.4,0.91954,0.57256,0.00332,0.85167,0.81773,0.86997,0.65382,1.0122,0.78926,0.00632,0.00826477,0.00826477,0.00826477
57,4772.15,0.94241,0.57251,0.00337,0.83564,0.80643,0.88206,0.67296,0.97406,0.73963,0.00595,0.00820525,0.00820525,0.00820525
58,4855.94,0.90884,0.54366,0.00324,0.85823,0.80775,0.87978,0.65749,0.99601,0.76775,0.00645,0.00814495,0.00814495,0.00814495
59,4939.23,0.93297,0.54224,0.00332,0.87882,0.82635,0.88359,0.67148,0.99539,0.72658,0.00619,0.00808389,0.00808389,0.00808389
60,5022.73,0.92497,0.52203,0.00333,0.87939,0.81707,0.8908,0.67202,0.98007,0.73271,0.00618,0.00802208,0.00802208,0.00802208
61,5106.27,0.92332,0.51601,0.00331,0.9024,0.82521,0.89367,0.6909,0.95119,0.6656,0.00589,0.00795954,0.00795954,0.00795954
62,5187.54,0.9112,0.53995,0.00326,0.90932,0.81362,0.90018,0.6815,0.97677,0.71312,0.00639,0.00789628,0.00789628,0.00789628
63,5268.47,0.90172,0.51981,0.00318,0.91167,0.80582,0.89372,0.6871,0.92686,0.73181,0.00564,0.00783231,0.00783231,0.00783231
64,5349.76,0.90938,0.5309,0.00317,0.8868,0.82855,0.89608,0.68407,0.93038,0.76242,0.00575,0.00776766,0.00776766,0.00776766
65,5430.7,0.89591,0.55152,0.00322,0.87537,0.80677,0.88317,0.67791,0.97491,0.74248,0.00593,0.00770234,0.00770234,0.00770234
66,5511.95,0.88165,0.51794,0.00317,0.90086,0.83444,0.89751,0.67788,0.95436,0.71841,0.00594,0.00763637,0.00763637,0.00763637
67,5588.43,0.91506,0.52228,0.00322,0.92617,0.82345,0.90199,0.69206,0.94048,0.71272,0.00599,0.00756976,0.00756976,0.00756976
68,5664.09,0.89629,0.51496,0.00313,0.89012,0.82104,0.88925,0.67739,0.97823,0.75126,0.00613,0.00750252,0.00750252,0.00750252
69,5741.96,0.8745,0.50245,0.00293,0.93441,0.79981,0.89456,0.69206,0.92113,0.72814,0.00582,0.00743468,0.00743468,0.00743468
70,5819.98,0.88682,0.50759,0.0031,0.89832,0.83706,0.8928,0.69112,0.94188,0.72551,0.00574,0.00736625,0.00736625,0.00736625
71,5895.3,0.90251,0.51119,0.00309,0.87035,0.86631,0.90473,0.67567,0.94966,0.69822,0.00602,0.00729725,0.00729725,0.00729725
72,5969.31,0.89428,0.50034,0.00311,0.8829,0.83605,0.90026,0.69679,0.94668,0.72582,0.00608,0.0072277,0.0072277,0.0072277
73,6038.79,0.88286,0.48779,0.00303,0.92663,0.80925,0.89907,0.69315,0.94695,0.73132,0.00586,0.00715761,0.00715761,0.00715761
74,6110.69,0.88358,0.49917,0.00316,0.92535,0.81665,0.89173,0.69532,0.92938,0.7408,0.00573,0.007087,0.007087,0.007087
75,6188.13,0.86869,0.46361,0.003,0.90682,0.82754,0.89663,0.69553,0.9433,0.6753,0.00571,0.00701588,0.00701588,0.00701588
76,6270.03,0.87473,0.47377,0.00296,0.90008,0.8357,0.90585,0.70591,0.89049,0.69926,0.00524,0.00694428,0.00694428,0.00694428
77,6351.35,0.85755,0.4757,0.00297,0.88331,0.87039,0.91914,0.70897,0.91182,0.65668,0.00548,0.00687222,0.00687222,0.00687222
78,6426.28,0.86403,0.49525,0.00301,0.9285,0.83766,0.90919,0.70198,0.91783,0.65642,0.00547,0.0067997,0.0067997,0.0067997
79,6500.03,0.84938,0.47951,0.00291,0.86021,0.84772,0.90193,0.70252,0.90987,0.66049,0.00561,0.00672675,0.00672675,0.00672675
80,6573.98,0.85876,0.46564,0.00296,0.87978,0.83788,0.8905,0.69316,0.91444,0.75774,0.00564,0.00665339,0.00665339,0.00665339
81,6647.86,0.8484,0.47495,0.00293,0.88217,0.85391,0.91087,0.70857,0.89595,0.67518,0.0055,0.00657963,0.00657963,0.00657963
82,6722.45,0.83956,0.4556,0.0029,0.93243,0.83216,0.90304,0.70864,0.89045,0.6746,0.00539,0.0065055,0.0065055,0.0065055
83,6797.85,0.83445,0.46012,0.0028,0.90882,0.80915,0.90102,0.7071,0.89901,0.68791,0.00544,0.00643101,0.00643101,0.00643101
84,6874.3,0.82314,0.47183,0.00282,0.8775,0.84066,0.89798,0.7029,0.92174,0.66545,0.00572,0.00635617,0.00635617,0.00635617
85,6946.22,0.82693,0.46571,0.0027,0.90064,0.81783,0.89528,0.68693,0.92823,0.71447,0.00554,0.00628101,0.00628101,0.00628101
86,7022.38,0.82801,0.45043,0.00276,0.89999,0.83173,0.89871,0.7043,0.87965,0.71997,0.00533,0.00620555,0.00620555,0.00620555
87,7099.84,0.84255,0.47235,0.0028,0.93239,0.80935,0.90127,0.69875,0.88455,0.70782,0.00547,0.00612981,0.00612981,0.00612981
88,7177.2,0.82646,0.43964,0.00287,0.89553,0.83976,0.89719,0.70693,0.87945,0.70494,0.00524,0.0060538,0.0060538,0.0060538
89,7251.01,0.82888,0.44273,0.0028,0.92681,0.82654,0.90457,0.70676,0.90983,0.65686,0.00543,0.00597754,0.00597754,0.00597754
90,7328.15,0.81486,0.45078,0.00271,0.91111,0.79327,0.89324,0.70503,0.8763,0.70766,0.00533,0.00590105,0.00590105,0.00590105
91,7405.26,0.82244,0.42135,0.0028,0.90986,0.82844,0.89697,0.70528,0.88693,0.69953,0.00532,0.00582435,0.00582435,0.00582435
92,7480.15,0.82276,0.44498,0.00278,0.9371,0.83167,0.90622,0.72031,0.88583,0.66669,0.00531,0.00574746,0.00574746,0.00574746
93,7558.84,0.81504,0.43136,0.00274,0.90596,0.82498,0.89572,0.70364,0.89194,0.69415,0.00534,0.0056704,0.0056704,0.0056704
94,7636.31,0.79453,0.43804,0.0026,0.92368,0.83276,0.90881,0.71944,0.88246,0.67686,0.00543,0.00559318,0.00559318,0.00559318
95,7709.87,0.80242,0.42605,0.00265,0.92344,0.84249,0.91112,0.70525,0.90944,0.63539,0.00562,0.00551584,0.00551584,0.00551584
96,7785.2,0.79271,0.41474,0.00265,0.93207,0.82226,0.90299,0.71531,0.87111,0.67771,0.00541,0.00543837,0.00543837,0.00543837
97,7859.46,0.79238,0.40283,0.00257,0.89347,0.84051,0.90203,0.69845,0.88922,0.65271,0.00553,0.00536081,0.00536081,0.00536081
98,7934.23,0.81634,0.4489,0.00266,0.90082,0.84584,0.9032,0.71868,0.84253,0.66516,0.00525,0.00528318,0.00528318,0.00528318
99,8008.32,0.7644,0.39793,0.0025,0.89854,0.84211,0.90719,0.71565,0.85508,0.67782,0.00525,0.00520548,0.00520548,0.00520548
100,8082.61,0.7801,0.4346,0.00248,0.91503,0.83791,0.90693,0.71317,0.8744,0.69129,0.00538,0.00512775,0.00512775,0.00512775
101,8156.91,0.78567,0.41746,0.00255,0.93361,0.84203,0.90845,0.71351,0.88022,0.70555,0.00533,0.00505,0.00505,0.00505
102,8231.11,0.76955,0.40492,0.00253,0.90452,0.86888,0.91585,0.73164,0.8423,0.64449,0.0051,0.00497225,0.00497225,0.00497225
103,8305.2,0.77748,0.39394,0.00245,0.91042,0.84933,0.91113,0.72168,0.86396,0.65023,0.0052,0.00489452,0.00489452,0.00489452
104,8381.04,0.76016,0.39386,0.00243,0.92969,0.8524,0.91374,0.71316,0.86752,0.63768,0.00544,0.00481682,0.00481682,0.00481682
105,8456.49,0.76607,0.38098,0.00259,0.93919,0.84295,0.91549,0.7201,0.86485,0.64844,0.00533,0.00473919,0.00473919,0.00473919
106,8534.7,0.78348,0.39416,0.0025,0.92475,0.85351,0.91484,0.71334,0.86494,0.65131,0.00535,0.00466163,0.00466163,0.00466163
107,8607.4,0.77242,0.39108,0.00253,0.91742,0.83945,0.90178,0.70891,0.85553,0.6869,0.00532,0.00458416,0.00458416,0.00458416
