epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9171,1.28548,6.98081,0.00578,0,0,0,0,1.09995,5.3543,0.0077,3.28829e-05,3.28829e-05,0.06715
2,78.1321,1.18268,3.42885,0.00487,0.51863,0.18124,0.16098,0.12812,0.98846,3.19073,0.00639,6.58884e-05,6.58884e-05,0.0338497
3,112.149,1.10289,2.90069,0.00453,0.37403,0.28563,0.25123,0.20086,0.94236,2.36094,0.0061,9.8564e-05,9.8564e-05,0.000549014
4,146.133,1.03746,2.72142,0.00406,0.35042,0.31843,0.29274,0.22675,0.88262,2.14814,0.00543,9.8515e-05,9.8515e-05,9.8515e-05
5,180.088,0.9949,2.49149,0.00392,0.37933,0.35367,0.32102,0.246,0.88223,2.02124,0.00534,9.802e-05,9.802e-05,9.802e-05
6,214.111,0.95404,2.32835,0.00382,0.43538,0.35182,0.34194,0.26679,0.83497,1.95006,0.00509,9.7525e-05,9.7525e-05,9.7525e-05
7,248.149,0.96237,2.20409,0.00367,0.4281,0.38925,0.38259,0.30262,0.83437,1.80074,0.00506,9.703e-05,9.703e-05,9.703e-05
8,282.196,0.95684,2.11967,0.00368,0.44996,0.41405,0.40185,0.32337,0.81142,1.74829,0.0049,9.6535e-05,9.6535e-05,9.6535e-05
9,316.227,0.92483,1.99701,0.00348,0.46745,0.42641,0.4315,0.34084,0.82293,1.66687,0.00499,9.604e-05,9.604e-05,9.604e-05
10,350.237,0.89426,1.95843,0.00346,0.52548,0.45044,0.46524,0.37431,0.77484,1.59425,0.00449,9.5545e-05,9.5545e-05,9.5545e-05
11,384.221,0.89797,1.88597,0.00358,0.54187,0.47707,0.49511,0.39596,0.7672,1.54699,0.00449,9.505e-05,9.505e-05,9.505e-05
12,418.195,0.87273,1.83682,0.00339,0.51887,0.50664,0.51467,0.41505,0.7734,1.48278,0.00472,9.4555e-05,9.4555e-05,9.4555e-05
13,452.157,0.86408,1.73235,0.00319,0.53157,0.52839,0.5311,0.42765,0.77654,1.4296,0.00464,9.406e-05,9.406e-05,9.406e-05
14,486.156,0.86908,1.73268,0.00325,0.60723,0.51104,0.55303,0.44649,0.75344,1.41409,0.00432,9.3565e-05,9.3565e-05,9.3565e-05
15,520.134,0.8729,1.67393,0.00341,0.57254,0.54866,0.57009,0.45794,0.76095,1.37471,0.00443,9.307e-05,9.307e-05,9.307e-05
16,554.163,0.86715,1.65596,0.00328,0.60472,0.52453,0.57131,0.46262,0.73199,1.34751,0.00425,9.2575e-05,9.2575e-05,9.2575e-05
17,588.198,0.85064,1.5947,0.00315,0.55243,0.57184,0.56218,0.45279,0.74471,1.34783,0.00429,9.208e-05,9.208e-05,9.208e-05
18,622.214,0.83506,1.517,0.00311,0.59788,0.55917,0.5821,0.4724,0.75194,1.27891,0.00433,9.1585e-05,9.1585e-05,9.1585e-05
19,656.276,0.85495,1.52517,0.00323,0.60395,0.58748,0.59159,0.47886,0.74288,1.27261,0.0043,9.109e-05,9.109e-05,9.109e-05
20,690.261,0.84284,1.47818,0.00319,0.63641,0.57782,0.60987,0.49571,0.73444,1.22549,0.00433,9.0595e-05,9.0595e-05,9.0595e-05
21,724.218,0.82764,1.45165,0.00314,0.6224,0.57343,0.6053,0.49083,0.73239,1.20699,0.00431,9.01e-05,9.01e-05,9.01e-05
