epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.553,1.03934,20.033,0.0046,0.00384,0.65864,0.18898,0.15108,0.86442,7.56346,0.00586,0.000411036,0.000411036,0.000411036
2,89.6592,1.03254,15.465,0.00417,0.45978,0.36425,0.33183,0.25365,0.87462,4.7686,0.00567,0.000819508,0.000819508,0.000819508
3,128.56,1.06239,10.9089,0.0043,0.44128,0.47722,0.43359,0.31399,1.05788,2.05093,0.00708,0.00121973,0.00121973,0.00121973
4,169.752,1.09104,7.34779,0.00436,0.61265,0.5512,0.59607,0.4407,1.00994,1.47257,0.00614,0.00121287,0.00121287,0.00121287
5,210.994,1.0428,4.9512,0.00436,0.71361,0.59507,0.67585,0.50203,0.97021,1.2022,0.00654,0.0012005,0.0012005,0.0012005
6,257.89,1.0225,3.5666,0.00438,0.61732,0.60686,0.65931,0.48283,0.99519,1.20229,0.00649,0.00118812,0.00118812,0.00118812
7,300.734,1.02176,2.79108,0.0042,0.64311,0.64921,0.67872,0.49626,0.97003,1.16653,0.00657,0.00117575,0.00117575,0.00117575
8,347.688,1.04394,2.28585,0.00431,0.65054,0.66889,0.69828,0.52082,0.93956,1.14076,0.00619,0.00116337,0.00116337,0.00116337
9,387.789,0.98844,1.90705,0.00396,0.6623,0.66588,0.6987,0.54124,0.9291,1.0907,0.00621,0.001151,0.001151,0.001151
10,431.22,0.96284,1.65538,0.00378,0.67643,0.69842,0.72902,0.55893,0.90644,1.00319,0.00601,0.00113863,0.00113863,0.00113863
11,479.909,0.95606,1.47625,0.00397,0.72707,0.73876,0.78509,0.59229,0.89001,0.92629,0.00564,0.00112625,0.00112625,0.00112625
12,529.07,0.93872,1.36102,0.00395,0.74833,0.74363,0.79688,0.60643,0.8636,0.86851,0.00542,0.00111388,0.00111388,0.00111388
